topic,aka,owner,scope,notes,program_flow,pr,cdc_link,spanish
BULLY," Bully, Bullying",NCIPC / DVP,IN,,,NO,,
BURKHOLDERIA CEPACIA INFECTION,B. capeacia,NCEZID/ DHCPP / BSPB,ESCALATE,"

",Special Pathogens - Program Flow,NO,http://www.cdc.gov/HAI/organisms/bCepacia.html,N
BURKHOLDERIA PSEUDOMALLEI INFECTION,Melioidosis,NCEZID / DHCPP / BSPP,IN,,Special Pathogens - Program Flow,YES,http://www.cdc.gov/melioidosis/,N
BURULI ULCER,,NCEZID/ DHCPP / BSPB,REFER,All ulcers go to NIH at http://www.niams.nih.gov or 301-495-4484,Special Pathogens - Program Flow,NO,http://www.cdc.gov/nczved/divisions/dfbmd/diseases/buruli_ulcer/technical.html,N
C. SORDELLII,Clostridium sordellii,NCEZID / DHQP,IN,gqw6@cdc.gov,,NO,http://www.cdc.gov/HAI/organisms/cSordellii.html,N
CADMIUM,,ATSDR / DTEM,IN,Occupational Exposure is NIOSH,,YES,http://www.cdc.gov/niosh/topics/cadmium/,N
CALICIVIRUS INFECTION,Norovirus,NCIRD / DVD,IN,"Can be Cruise Ship Related, VSP is in scope",National Center for Immunization and Respiratory Disease (NCIRD) - Program Flow,YES,,
CAMP LEJEUNE,,ATSDR / DHS,IN,"If inquiry is about benefits associated with the Janey Ensminger Act, refer to the following VA website:
http://www.publichealth.va.gov/exposures/camp-lejeune/",,YES,http://www.atsdr.cdc.gov/sites/lejeune/,N
CAMPAIGN TO PREVENT ANTIMICROBIAL RESISTANCE,,NCEZID / DHQP,IN,,,NO,http://www.cdc.gov/drugresistance/campaigns.html,N
CAMPYLOBACTERIOSIS / CAMPYLOBACTER INFECTION,Food Borne Infection,NCEZID / DFWED,IN,,,YES,http://www.cdc.gov/nczved/divisions/dfbmd/diseases/campylobacter/,N
CANCER,,NCCDPHP / DCPC,IN,Workplace-related is NIOSH,,YES,http://www.cdc.gov/cancer/,Y
CANCER CLUSTERS,,NCEH / EHHE,IN,,,YES,http://www.cdc.gov/niosh/topics/cancer/clusters.html,N
CANCER HEALTH DISPARITIES,,NCCDPHP / DCPC,IN,,,YES,http://www.cdc.gov/cancer/healthdisparities/,N
CANCER REGISTRIES,,NCCDPHP / DCPC,IN,,,YES,http://www.cdc.gov/cancer/npcr/,N
CANCER SURVIVORSHIP,,NCCDPHP / DCPC,IN,,,YES,http://www.cdc.gov/cancer/survivorship/,Y
CANDIDIASIS / CANDIDA INFECTION,"Yeast Infection, Thrush",NCEZID / DFWED,IN,,,YES,http://www.cdc.gov/fungal/candidiasis/,N
CAPILLARIASIS / CAPILLARIA INFECTION,,CGH/DPDM/PDB,REFER,"Refer caller to 404-718-4745 8am - 4pm EST ONLY if caller has a doctor's diagnosis for reported issue.  Otherwise, escalate.",Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/capillaria/,N
CARBAPENEM-RESISTANT ENTEROBACTERIACEAE (CRE),CRE,NCEZID / DHQP,IN,,,YES,http://www.cdc.gov/HAI/organisms/cre/,N
CARBON MONOXIDE,CO,NCEH / EHHE,IN,Workplace-related is NIOSH,,YES,http://emergency.cdc.gov/disasters/carbonmonoxide.asp,N
CARBON MONOXIDE DANGERS IN BOATING,,NIOSH,IN,,NIOSH - Program Flow,YES,http://www.cdc.gov/niosh/topics/coboating/,Y
CARBON MONOXIDE HAZARDS FROM SMALL GAS POWERED ENGINES,,NIOSH,IN,,NIOSH - Program Flow,YES,http://www.cdc.gov/niosh/topics/co/,N
CARBONLESS COPY PAPER,,NIOSH,IN,,NIOSH Program Flow,NO,http://www.cdc.gov/niosh/topics/ccp/,N
CARDIOVASCULAR HEALTH,Heart Disease,NCCDPHP / DHDSP,IN,,,YES,http://www.cdc.gov/dhdsp/,N
CARDIOVIRUS,Picornavirus,NCIRD / DVD,ESCALATE,,National Center for Immunization and Respiratory Disease (NCIRD) - Program Flow,NO,http://www.cdc.gov/ncird/dvd.html,N
CARPAL TUNNEL SYNDROME,Ergonomic and Musculoskeletal Disorders,NIOSH,IN,,NIOSH - Program Flow,YES,http://www.cdc.gov/niosh/topics/ergonomics/,N
CAT SCRATCH DISEASE,"Bartonella, Rochalimaea",NCEZID / DVBD/BDB&RZB,ESCALATE,Escalate to dvbd@cdc.gov,Vectorborne Infectious Diseases - Program Flow,YES,http://www.cdc.gov/bartonella/,N
CATCH-UP IMMUNIZATION SCHEDULER,,NCIRD / ISD,IN,,Immunization - Program Flow,NO,https://www.vacscheduler.org/,N
" CATS, INFECTIONS FROM","Bartonella, Rochalimaea, Plague, Tularemia",NCEZID / DVBD/BDB&RZB,ESCALATE,use PRs if appropriate and escalate to dvbd@cdc.gov,Vectorborne Infectious Diseases - Program Flow,YES,http://www.cdc.gov/bartonella/,N
CDC-TV,"Video requests, broadcast requests",OADC,ESCALATE,escalate requests for CDC TV videos or any broadcast requests to GWQ9@cdc.gov,,NO,http://www.cdc.gov/cdctv/,N
CDC-TRAIN,CDC-TRAIN online training software,OPHSS/CSELS,REFER,"train@cdc.gov
Refer inquirers who have questions SPECIFICALLY about CDC-TRAIN",,NO,https://cdc.train.org,N
CDC WONDER,,NCPHI,IN,Escalations should be sent to rsb@cdc.gov,,YES,http://wonder.cdc.gov/,N
CDC Lab Safety Questions,"Anthrax incident, H5N1 incident",NCEZID / DHQP,IN,Escalations should be sent to rsb@cdc.gov,,LOG CALL,http://www.cdc.gov/media/index.html,N
CDC WONDER,,NCPHI,IN,Escalations should be sent to rsb@cdc.gov,,YES,http://wonder.cdc.gov/,N
CDC/ATSDR MINORITY INITIATIVES COORDINATING COMMITTEE (CAMICC),,OD / OMHD,REFER,OMHD@cdc.gov,,NO,http://www.cdc.gov/minorityhealth/CAMICC.html,N
CDC'S POSITION ON TATTOOING AND HCV INFECTION,Hepatitis C,NCHHSTP / DVH,IN,Escalations should be sent to rsb@cdc.gov,,YES,http://www.cdc.gov/hepatitis/C/index.htm   http://www.cdc.gov/hepatitis/C/cFAQ.htm#transmission,N
" CDC SWITCHBOARD - ATLANTA, GA",,NA,REFER,For callers who wish to speak to specific CDC personnel (non-leadership): 404-639-3311,,NO,,
Cedeca Lapagei,,NCEZID / DHQP,ESCALATE,,,NO,,
CELIAC DISEASE,"Gluten Intolerance, Gluten Free",NONE,REFER,"NATIONAL INSTITUTES OF HEALTH -The National Institute of Diabetes and Digestive and Kidney Diseases 301-496-3583, www2.niddk.nih.gov",,NO,,
CERCARIAL DERMATITIS INFECTION,Swimmer's Itch,CGH/DPDM/PDB,ESCALATE,,Parasitic Diseases - Program Flow,NO,http://www.cdc.gov/parasites/swimmersitch/faqs.html,N
CERCOPITHECINE HERPESVIRUS,B Virus,NCIRD / DVD,IN,,National Center for Immunization and Respiratory Disease (NCIRD) - Program Flow,YES,http://www.cdc.gov/herpesbvirus/index.html,N
CEREBRAL PALSY,,NCBDDD,IN,,Birth Defects - Program Flow,YES,http://www.cdc.gov/ncbddd/cp/index.html,Y
CERVICAL CANCER,,NCCDPHP / DCPC,IN,,,YES,http://www.cdc.gov/cancer/cervical/,Y
CHAGAS DISEASE,Trypanosoma cruzi Infection; American Trypanosomiasis,CGH/DPDM/PDB,IN,,Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/chagas/,Y
CHANCROID,,NCHHSTP / DSTDP,IN,,Sexually Transmitted Diseases (STD) Program Flow,YES,"
http://www.cdc.gov/std/stats09/other.htm
http://www.cdc.gov/std/treatment/2010/genital-ulcers.htm",N
CHEMICAL AGENT INFORMATION (FOR EMERGENCY RESPONDERS),,NIOSH,IN,,NIOSH - Program Flow,NO,http://www.cdc.gov/niosh/topics/emres/chemagent.html,N
CHEMICAL AGENTS,,ATSDR / DTEM,IN,Occupational Exposure is NIOSH,,YES,http://emergency.cdc.gov/agent/agentlistchem.asp,Y
CHEMICAL PROTECTIVE CLOTHING,,NIOSH,IN,,NIOSH - Program Flow,,http://www.cdc.gov/niosh/topics/protclothing/,N
CHEMICAL SAFETY,,ATSDR / DTEM,IN,Occupational/Workplace Chemical Safety is NIOSH,,YES,http://www.cdc.gov/niosh/topics/chemical-safety/,Y
CHEMICAL TERRORISM PREPAREDNESS GRANTS,,NCEH / DLS,ESCALATE,,,NO,,
CHEMICAL WEAPONS DEMILITARIZATION,,NCEH / EEHS,IN,,,YES,http://www.cdc.gov/nceh/demil/default.htm,N
CHEST RADIOGRAPHY,,NIOSH,IN,,NIOSH - Program Flow,YES,http://www.cdc.gov/niosh/topics/chestradiography/,N
CHIARI,"ARNOLD-CHIARI MALFORMATION , ARNOLD-CHIARI SYNDROME, ARNOLD-CHIARI SYNDROME",,REFER,"Please refer to National Organization for Rare Disorders, INC: www.rarediseases.org / 203-744-0100",,NO,,
TEST,TEST,TEST,TEST,TEST,TEST,TEST,TEST,
